Fila,country,designation,points,price,province,region_1,variety,winery
10533,US,,81,16,California,Napa County,Cabernet Sauvignon,Castle Rock
10534,Argentina,Phebus,80,12,Mendoza Province,Mendoza,Torrontés,Fabre Montmayou
10535,US,Estate grown,80,15,California,Lodi,Malbec,LangeTwins
10536,Spain,Spumante,80,9,Catalonia,Cava,Sparkling Blend,Freixenet
10537,US,,80,25,California,Paso Robles,Syrah,San Simeon
10538,US,,80,16,California,Monterey,Pinot Grigio,Maddalena
10539,Spain,Clon de la Familia,98,450,Northern Spain,Ribera del Duero,Tinto Fino,Emilio Moro
10540,US,30th Anniversary Cuvée Estate Vineyard,97,125,California,Russian River Valley,Pinot Noir,Williams Selyem
10541,Spain,Malleolus de Valderramiro,96,130,Northern Spain,Ribera del Duero,Tinto Fino,Emilio Moro
10542,Italy,,96,27,Tuscany,Chianti Classico,Red Blend,Isole e Olena
10543,US,Rincon Vineyard,95,39,California,Arroyo Grande Valley,Chardonnay,Testarossa
10544,US,Meredith Estate,95,57,California,Russian River Valley,Pinot Noir,Merry Edwards
10545,US,Dutton Ranch Rued Vineyard,95,50,California,Green Valley,Chardonnay,Dutton-Goldfield
10546,US,Gwendolyn,95,70,California,Sta. Rita Hills,Pinot Noir,Tantara
10547,Portugal,Pintas Character,95,40,Douro,,Portuguese Red,Wine & Soul
10548,US,Klopp Ranch,95,57,California,Russian River Valley,Pinot Noir,Merry Edwards
10549,Italy,,94,32,Tuscany,Vino Nobile di Montepulciano,Red Blend,Dei
10550,US,Hirsch Vineyard,94,59,California,Sonoma Coast,Pinot Noir,32 Winds
10551,US,Tondre H Block,94,65,California,Santa Lucia Highlands,Pinot Noir,Tantara
10552,Italy,Riserva,94,30,Tuscany,Chianti Classico,Sangiovese,Villa Cafaggio
10553,US,Flax Vineyard,94,54,California,Russian River Valley,Pinot Noir,Merry Edwards
10554,US,Bien Nacido Vineyard X Block The Good Nacido,94,100,California,Santa Maria Valley,Syrah,Qupé
10555,US,Reserve,94,130,California,Napa-Sonoma,Cabernet Sauvignon,Pride Mountain
10556,Portugal,La Rosa Reserva,94,50,Douro,,Portuguese Red,Quinta de la Rosa
10557,France,Sommerberg Grand Cru,94,50,Alsace,Alsace,Riesling,Domaine Schoffit
10558,Spain,Malleolus de Sanchomartin,94,150,Northern Spain,Ribera del Duero,Tinto Fino,Emilio Moro
10559,France,Clos du Papillon,94,,Loire Valley,Savennières,Chenin Blanc,Domaine des Baumard
10560,France,,94,,Loire Valley,Quarts de Chaume,Chenin Blanc,Domaine des Baumard
10561,Italy,,90,55,Tuscany,Brunello di Montalcino,Sangiovese,Camigliano
10562,Italy,,90,90,Tuscany,Brunello di Montalcino,Sangiovese,Canalicchio Franco Pacenti
10563,US,Estate,90,38,California,Sonoma Mountain,Pinot Noir,Belden Barns
10564,Italy,,90,26,Tuscany,Vino Nobile di Montepulciano,Red Blend,Bindella
10565,Spain,,90,20,Northern Spain,Valdeorras,Godello,Casal Novo
10566,US,Hillside Vineyard,90,32,Oregon,Columbia Valley (OR),Zinfandel,Cathedral Ridge
10567,France,Prestige,90,12,Alsace,Alsace,Pinot Blanc,Cave de Cleebourg
10568,US,,90,25,California,Carneros,Chardonnay,Acacia
10569,France,Kirchberg Grand Cru,90,40,Alsace,Alsace,Muscat,André Kientzler
10570,Italy,,90,65,Tuscany,Bolgheri,Red Blend,Argentiera
10571,Italy,,90,29,Tuscany,Vino Nobile di Montepulciano,Red Blend,Contucci
10572,US,,90,28,California,Russian River Valley,Chardonnay,David Bruce
10573,US,,90,38,California,Russian River Valley,Pinot Noir,David Bruce
10574,US,Virginia's Block Jane's Vineyard,90,25,California,Russian River Valley,Sauvignon Blanc,Davis Bynum
10575,Italy,,90,29,Tuscany,Vino Nobile di Montepulciano,Red Blend,Dei
10576,Australia,Promised Land,90,13,South Australia,South Australia,Cabernet Sauvignon,Wakefield Estate
10577,US,Tualatin Estate,90,55,Oregon,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
10578,US,Bucher Vineyard,90,59,California,Russian River Valley,Pinot Noir,Williams Selyem
10579,US,Lindsay's Vineyard,90,75,California,Sta. Rita Hills,Pinot Noir,Two Sisters
10580,Italy,Re di Renieri,90,45,Tuscany,Toscana,Red Blend,Renieri
10581,Italy,,90,30,Tuscany,Rosso di Montalcino,Sangiovese,Ridolfi
10582,Australia,,90,22,Western Australia,Margaret River,Cabernet Sauvignon,Ringbolt
10583,US,Heritage Reserve,90,40,California,Carneros,Pinot Noir,Schug
10584,US,,90,50,California,Russian River Valley,Pinot Noir,Screen Door Cellars
10585,Italy,,90,35,Tuscany,Brunello di Montalcino,Sangiovese,Tenuta di Sesta
10586,Australia,Black Label,90,40,South Australia,Coonawarra,Cabernet Sauvignon,Wynns Coonawarra Estate
10587,Spain,,90,60,Northern Spain,Ribera del Duero,Red Blend,Bosque De Matasnos
10588,Australia,Made With Organic Grapes,90,17,South Australia,South Australia,Chardonnay,Yalumba
10589,US,Gamma,90,35,California,Sta. Rita Hills,Syrah,Ampelos
10590,US,Diamond Terraces Vineyard,90,80,California,Diamond Mountain District,Cabernet Sauvignon,Von Strasser
10591,US,Special Harvest,82,10,Idaho,,Riesling,Ste. Chapelle
10592,US,,82,10,Washington,Columbia Valley (WA),Cabernet Sauvignon,Whispering Tree
10593,Spain,,80,7,Levante,Valencia,Shiraz-Tempranillo,Torre Oria
10594,US,,80,16,Idaho,,Rosé,3 Horse Ranch Vineyards
10595,Portugal,,97,100,Douro,,Portuguese Red,Quinta do Vale Meão
10596,Spain,Alabaster,97,227,Northern Spain,Toro,Tinta de Toro,Teso La Monja
10597,France,Brand Grand Cru,96,100,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
10598,US,Latifeh,96,100,Oregon,Willamette Valley,Pinot Noir,Ayoub
10599,Spain,Gran Reserva 890,96,125,Northern Spain,Rioja,Red Blend,La Rioja Alta
10600,France,Goldert Grand Cru,96,65,Alsace,Alsace,Muscat,Domaine Zind-Humbrecht
10601,Spain,Tinus,96,351,Northern Spain,Ribera del Duero,Tempranillo,García Figuero
10602,Spain,Gran Reserva 904,96,50,Northern Spain,Rioja,Red Blend,La Rioja Alta
10603,Australia,Amery Vineyard Block 6,96,120,South Australia,McLaren Vale,Shiraz,Kay Brothers
10604,US,La Coupelle Single Vineyard,96,60,California,Arroyo Grande Valley,Pinot Noir,Laetitia
10605,Portugal,Colheita Tawny,96,415,Port,,Port,Burmester
10606,France,Schlossberg Grand Cru Cuvée Saint Catherine,96,62,Alsace,Alsace,Riesling,Domaine Weinbach
10607,France,Clos Saint Urbain Rangen de Thann Grand Cru,96,120,Alsace,Alsace,Riesling,Domaine Zind-Humbrecht
10608,South Africa,Columella,95,130,Swartland,,Rhône-style Red Blend,Sadie Family
10609,France,Muenchberg Grand Cru,95,65,Alsace,Alsace,Riesling,Domaine Ostertag
10610,Portugal,Rubrica,95,60,Alentejano,,Portuguese Red,Luis Duarte
10611,US,Trenton Estate Vineyard,95,65,California,Russian River Valley,Pinot Noir,Joseph Swan Vineyards
10612,France,Schlossberg Grand Cru,95,46,Alsace,Alsace,Riesling,Domaine Weinbach
10613,Portugal,Estremus,95,99,Alentejano,,Portuguese Red,J. Portugal Ramos
10614,Portugal,Colheita Tawny,95,220,Port,,Port,Kopke
10615,Portugal,Colheita Tawny,95,74,Port,,Port,Kopke
10616,Portugal,Vintage,95,85,Port,,Port,Quinta do Noval
10617,Germany,Piesporter Goldtröpfchen GG Trocken,95,50,Mosel,,Riesling,Reichsgraf von Kesselstatt
10618,Spain,Victorino,95,65,Northern Spain,Toro,Tinta de Toro,Teso La Monja
10619,US,The Derivative,95,28,California,Sonoma County,White Blend,Carlisle
10620,Argentina,Reserva,95,90,Other,Salta,Malbec,Colomé
10621,US,Three Sons Cuvee,84,45,California,Russian River Valley,Pinot Noir,Halleck
10622,Portugal,Mariana,84,14,Alentejano,,Rosé,Herdade do Rocim
10623,Portugal,Companhia das Lezírias Tyto Alba Vinhas Protegidas,84,23,Tejo,,Sauvignon Blanc,Wines & Winemakers
10624,Spain,VA Viña Aljibes,84,15,Central Spain,Vino de la Tierra de Castilla,Sauvignon Blanc-Chardonnay,Aljibes
10625,Spain,Inspiración Valdemar Alto Cantabria,84,24,Northern Spain,Rioja,Tempranillo Blanco,Bodegas Valdemar
10626,Spain,3055,84,15,Catalonia,Penedès,Chardonnay,Jean León
10627,Portugal,Casal da Seara,84,6,Vinho Verde,,Portuguese White,Campelo
10628,Spain,Family Estate Selection,84,20,Galicia,Rías Baixas,Albariño,Castro Martin
10629,France,,84,12,Southwest France,Bergerac Sec,Bordeaux-style White Blend,Château Laulerie
10630,France,,84,,Southwest France,Cahors,Malbec,Clément Bosquet
10631,Portugal,Vargosa,84,13,Douro,,Portuguese Red,H. Abrantes Douro Wines
10632,France,,84,26,Burgundy,Bourgogne,Chardonnay,Jean-Luc and Paul Aegerter
10633,Argentina,,84,14,Mendoza Province,Mendoza,Cabernet Sauvignon,Ricordi
10634,Australia,Are You Game?,84,17,Victoria,Victoria,Pinot Noir,Fowles Wine
10635,Argentina,Colección,84,19,Mendoza Province,Mendoza,Cabernet Sauvignon,Finca Perdriel
10636,Spain,,84,10,Northern Spain,Rioja,White Blend,Baron De Ley
10637,Portugal,Senses,84,13,Alentejano,,Alvarinho,Adega Cooperativa de Borba
10638,France,,84,,Southwest France,Périgord,Bordeaux-style Red Blend,Le Haut Païs
10639,France,,84,16,Loire Valley,Val de Loire,Pinot Noir,Nicolas Idiart
10640,France,,84,14,Loire Valley,Val de Loire,Sauvignon Blanc,Nicolas Idiart
10641,Portugal,Lagar,84,12,Vinho Verde,,Rosé,Quintas de Melgaço
10642,US,,84,11,California,California,Red Blend,Saturday Night Red
10643,Spain,Reserva Heredad,84,25,Catalonia,Cava,Sparkling Blend,Segura Viudas
10644,Portugal,Terra d'Alter,84,10,Alentejano,,Rosé,Terras de Alter
10645,Spain,,84,18,Galicia,Rías Baixas,Albariño,Vieira de Plata
10646,Spain,,84,13,Northern Spain,Rioja,White Blend,Vivanco
10647,Portugal,Monta da Baía,84,12,Península de Setúbal,,Rosé,Wines & Winemakers
10648,Argentina,Gran Reserve,84,22,Mendoza Province,Luján de Cuyo,Cabernet Sauvignon,Loscano
10649,Spain,Particular,84,14,Northern Spain,Cariñena,Chardonnay,Bodegas San Valero
10650,Argentina,Viña Amalia Reserva Single Vineyard,84,19,Mendoza Province,Valle de Uco,Cabernet Sauvignon,Carlos Basso
10651,US,,94,42,California,Russian River Valley,Pinot Noir,Sojourn
10652,Austria,Ried Loibenberg Smaragd,94,1100,Wachau,,Grüner Veltliner,Emmerich Knoll
10653,Austria,Ried Schütt Smaragd,94,54,Wachau,,Grüner Veltliner,Emmerich Knoll
10654,US,Reserve,94,98,California,Diamond Mountain District,Cabernet Sauvignon,En Garde
10655,US,Dutton Ranch Cherry Ridge Vineyard,94,50,California,Russian River Valley,Syrah,Dutton-Goldfield
10656,US,Rita's Crown Vineyard,94,49,California,Sta. Rita Hills,Pinot Noir,MacPhail
10657,Italy,,94,50,Tuscany,Morellino di Scansano,Red Blend,Castello di Montepò
10658,US,,94,100,California,Oakville,Cabernet Sauvignon,Ramey
10659,US,Old Vines,94,99,Washington,Washington,Cabernet Sauvignon,Woodward Canyon
10660,US,Estate,94,39,California,Santa Lucia Highlands,Pinot Noir,Boekenoogen
10661,US,Le Bon Climat,94,40,California,Santa Maria Valley,Pinot Noir,Clendenen Family
10662,US,Estate Grown Reserve,94,90,California,Russian River Valley,Pinot Noir,Donum
10663,US,,94,35,California,Santa Maria Valley,Pinot Noir,Foxen
10664,US,Burnside Vineyard,94,75,California,Russian River Valley,Pinot Noir,Patz & Hall
10665,US,Nunes Vineyard Ten Block,94,39,California,Russian River Valley,Pinot Noir,St. Rose
10666,US,,94,40,Washington,Columbia Valley (WA),Syrah,Gramercy
10667,Austria,Jochinger Pichl Federspiel,94,29,Wachau,,Riesling,Josef Jamek
10668,Italy,Riserva,94,54,Tuscany,Vino Nobile di Montepulciano,Red Blend,Contucci
10669,Italy,Vigneto di Campolungo Gran Selezione,94,40,Tuscany,Chianti Classico,Red Blend,Lamole di Lamole
10670,US,Sea View Ridge Estate Vineyard,94,70,California,Sonoma Coast,Pinot Noir,Flowers
10671,Italy,Vigna del Sorbo Gran Selezione,94,79,Tuscany,Chianti Classico,Red Blend,Fontodi
10672,Italy,,93,29,Tuscany,Vino Nobile di Montepulciano,Red Blend,Contucci
10673,France,Les Vaupulans Fourchaume Premier Cru,93,38,Burgundy,Chablis,Chardonnay,Domaine Vrignaud
10674,Italy,Gran Selezione,93,60,Tuscany,Chianti Classico,Red Blend,Mazzei
10675,US,Two Vineyard,93,36,California,Santa Cruz Mountains,Cabernet Sauvignon,Cooper-Garrod
10676,Austria,Loibner Steinertal Smaragd,93,,Wachau,,Grüner Veltliner,F X Pichler
10677,US,Estate Vineyard,93,44,California,Fort Ross-Seaview,Chardonnay,Failla
10678,US,The Deuce,93,52,Washington,Walla Walla Valley (WA),Syrah,Gramercy
10679,US,Rosella's Vineyard,93,50,California,Santa Lucia Highlands,Pinot Noir,Loring Wine Company
10680,US,La Entrada La Rinconada Vineyard,93,55,California,Sta. Rita Hills,Chardonnay,Sanford
10681,France,Les Arènes,91,72,Rhône Valley,Cornas,Syrah,M. Chapoutier
10682,France,,91,20,Rhône Valley,Lirac,Rhône-style Red Blend,Domaine Coudoulis
10683,France,Champ Salomon,91,,Burgundy,Marsannay,Pinot Noir,Domaine René Bouvier
10684,France,,91,,Burgundy,Fixin,Pinot Noir,Domaine René Bouvier
10685,Italy,Mille e Una Notte,91,85,Sicily & Sardinia,Contessa Entellina,Red Blend,Donnafugata
10686,US,Optu,91,50,Washington,Red Mountain,Bordeaux-style Red Blend,Fidelitas
10687,US,Salisbury Vineyard,91,38,California,San Luis Obispo County,Pinot Noir,Flying Goat Cellars
10688,US,,91,,Washington,Columbia Gorge (WA),Chardonnay,Foundry Vineyards
10689,US,Lawrence Vineyards Grand Klasse,91,22,Washington,Columbia Valley (WA),Riesling,Gård
10690,US,Vista Del Monte Vineyard,91,49,California,Temecula Valley,Syrah,Leoness
10691,France,Les Cazetiers Premier Cru,91,110,Burgundy,Gevrey-Chambertin,Pinot Noir,Louis Latour
10692,Italy,Sciarakè,91,32,Sicily & Sardinia,Etna,Nerello Mascalese,Destro
10693,France,Les Vergelesses Premier Cru,91,50,Burgundy,Pernand-Vergelesses,Pinot Noir,Domaine Chanson
10694,France,Les Vaumuriens,91,,Burgundy,Pommard,Pinot Noir,Domaine Chantal Lescure
10695,US,Las Madres Vineyard,91,36,California,Carneros,Syrah,Apsara
10696,France,,91,41,Burgundy,Auxey-Duresses,Chardonnay,Benjamin Leroux
10697,US,Bien Nacido Vineyard,91,30,California,Santa Maria Valley,Chardonnay,Stephen Ross
10698,US,Stolo Family Vineyards Hillside Reserve,91,39,California,San Luis Obispo County,Pinot Noir,Stolo
10699,US,Brosseau Vineyard,91,45,California,Chalone,Chardonnay,Testarossa
10700,US,,91,25,California,Santa Lucia Highlands,Chardonnay,Tondré
10701,US,Abbinare,91,25,Washington,Columbia Valley (WA),Bordeaux-style Red Blend,:Nota Bene
10702,US,,91,20,California,Monterey,Red Blend,Gifft
10703,France,Coudoulet de Beaucastel,91,49,Rhône Valley,Côtes du Rhône,Rhône-style White Blend,Famille Perrin
10704,France,La Doriane,91,125,Rhône Valley,Condrieu,Viognier,E. Guigal
10705,France,Vieilles Vignes,91,45,Rhône Valley,Gigondas,Rhône-style Red Blend,Tardieu-Laurent
10706,Greece,Gaia Estate,91,39,Nemea,,Agiorgitiko,Gaia Wines
10707,Italy,San Lorenzo Rosso,91,40,Sicily & Sardinia,Etna,Nerello Mascalese,Girolamo Russo
10708,Italy,Rosso,91,27,Sicily & Sardinia,Etna,Nerello Mascalese,Graci
10709,US,Reserve Estate Grown,91,20,California,Sierra Foothills,Chardonnay,Ironstone
10710,France,Champ Gain Premier Cru,91,104,Burgundy,Puligny-Montrachet,Chardonnay,Joseph Faiveley
10711,Italy,Sciasci,88,,Southern Italy,Sannio,Aglianico,Capolino Perlingieri
10712,Italy,Nembo,88,,Southern Italy,Sannio,Fiano,Capolino Perlingieri
10713,Italy,,88,20,Northeastern Italy,Friuli,Malvasia,Castelvecchio
10714,US,Stone Valley Tierra de las Rocas,88,70,Oregon,Oregon Other,Tempranillo,Castillo De Feliciana
10715,US,Rosé of,88,22,California,Edna Valley,Pinot Noir,Center of Effort
10716,US,Estate Grown,88,25,California,Chalone,Grenache,Chalone
10717,France,Baroque,88,24,Provence,Côtes de Provence,Rosé,Château de Brigue
10718,US,,88,35,New York,Finger Lakes,Saperavi,Dr. Konstantin Frank
10719,Italy,,88,17,Southern Italy,Sannio,Falanghina,Feudi di San Gregorio
10720,US,Champoux Vineyard,88,65,Washington,Horse Heaven Hills,Cabernet Sauvignon,Fidelitas
10721,US,,88,19,California,Edna Valley,Pinot Noir,Fossil Point
10722,Austria,Trie Weiss,88,14,Burgenland,,White Blend,Gunter Triebaumer
10723,US,,88,15,New York,Finger Lakes,Grüner Veltliner,Hazlitt 1852 Vineyards
10724,France,,88,25,Provence,Bandol,Rosé,Hecht & Bannier
10725,US,Pepper Bridge Vineyard,88,30,Washington,Walla Walla Valley (WA),Merlot,Hightower
10726,US,,88,8,Washington,Columbia Valley (WA),Red Blend,Hogue
10727,Italy,Gaudium,88,22,Southern Italy,Fiano di Avellino,Fiano,I Capitani
10728,Italy,Terrantica,88,24,Southern Italy,Greco di Tufo,Greco,I Favati
10729,US,Barlow Vineyards,88,52,California,Calistoga,Cabernet Sauvignon,Laura Michael
10730,US,Nikiara,88,45,California,Paso Robles,Bordeaux-style Red Blend,Le Vigne
10731,France,Les Gourmands Blanc,88,17,Southwest France,Gaillac,White Blend,L'Enclos des Braves
10732,France,Mas de Pampelonne,88,18,Provence,Côtes de Provence,Rosé,Les Maîtres Vignerons de la Presqu'île de Saint-Tropez
10733,Italy,Picol,88,28,Northeastern Italy,Isonzo del Friuli,Sauvignon,Lis Neris
10734,US,J.D. Hurley,88,,California,Santa Clara Valley,Carignane,Martin Ranch
10735,Austria,Gemischter Satz,88,,Niederösterreich,,White Blend,Martinshof
10736,US,Robert Willis Reserve Spice Cabinet Vineyard,88,55,Washington,Horse Heaven Hills,Malbec,Mercer
10737,US,Merriman Vineyard,88,50,Oregon,Willamette Valley,Pinot Noir,Merriman
10738,France,Les Vignes Retrouvées,88,17,Southwest France,Saint-Mont,White Blend,Producteurs Plaimont
10739,US,Maquette,88,40,California,Paso Robles,Bordeaux-style Red Blend,Sculpterra
10740,Italy,Menasasso Riserva,88,19,Lombardy,Lugana,Turbiana,Selva Capuzza
10741,US,Reserve,86,39,California,Livermore Valley,Cabernet Sauvignon,McGrail
10742,US,,86,40,California,Russian River Valley,Pinot Noir,Merriam
10743,Spain,Garnatxa Blanca,86,17,Catalonia,Montsant,Garnacha Blanca,Zerran
10744,France,,85,17,Bordeaux,Bordeaux Supérieur,Bordeaux-style Red Blend,Château Allégret
10745,France,,85,35,Bordeaux,Bordeaux Supérieur,Bordeaux-style Red Blend,Château Bois de Rolland
10746,France,Fleurs de Belcier,85,,Bordeaux,Bordeaux Rosé,Bordeaux-style Red Blend,Château de Belcier
10747,Germany,Fritz Fisk,85,13,Mosel,,Riesling,Dr. Pauly Bergweiler
10748,France,,85,17,Bordeaux,Bordeaux Supérieur,Bordeaux-style Red Blend,Château Rousset-Caillau
10749,Austria,,85,,Weinland Österreich,,Zweigelt,Ecker
10750,US,,85,40,California,Paso Robles,Syrah,Brochelle Vineyards
10751,Italy,Pojo del Ruspo,85,,Central Italy,Umbria,Sangiovese,Barbi
10752,Italy,Terra Marique,85,14,Central Italy,Lazio,Vermentino,Cantine Lupo
10753,France,,85,15,Bordeaux,Bordeaux Blanc,Bordeaux-style White Blend,Château Fonfroide
10754,Italy,Gatto Gatto,85,,Central Italy,Orvieto,Red Blend,Castello di Montegiove
10755,US,Rock Lake,85,16,Washington,Washington,Red Blend,Kamiak
10756,US,Old Vine,85,10,California,Sonoma County,Zinfandel,Kirkland Signature
10757,US,,85,8,California,California,Cabernet Sauvignon,Kirkland Signature
10758,France,,85,,Provence,Côtes de Provence,Rosé,L'Amphore de Provence
10759,Chile,Alfa Centauri,85,34,Leyda Valley,,Sauvignon Blanc,O. Fournier
10760,Italy,,85,12,Northeastern Italy,Delle Venezie,Pinot Grigio,Sartori
10761,Italy,Exclamation Point,85,10,Central Italy,Verdicchio dei Castelli di Jesi Classico,Verdicchio,Umani Ronchi
10762,Italy,Regillo,85,15,Central Italy,Frascati Superiore,White Blend,Tenuta di Pietra Porzia
10763,Chile,La Joya Gran Reserva,85,15,Colchagua Valley,,Viognier,Viña Bisquertt
10764,Spain,Crianza,85,14,Northern Spain,Rioja,Tempranillo,Viña Cerrada
10765,US,Stainless Steel Fermented,85,22,California,Sonoma Valley,Chardonnay,Roche
10766,Spain,Calcari,85,19,Catalonia,Penedès,Xarel-lo,Parés Baltà
10767,Chile,Puerto Viejo Reserve,85,10,Curicó Valley,,Syrah,Viña Requingua
10768,US,Rosé,85,11,Washington,Columbia Valley (WA),Sangiovese,Waterbrook
10769,Italy,,85,11,Central Italy,Trebbiano d'Abruzzo,Trebbiano,Caldora Vini
10770,US,,85,24,California,Central Coast,Pinot Noir,Calera
10771,US,HaLo,95,175,California,Oak Knoll District,Cabernet Sauvignon,Trefethen
10772,Australia,R Reserve,95,105,South Australia,Barossa Valley,Shiraz,Kilikanoon
10773,Italy,Colleallodole,95,70,Central Italy,Sagrantino di Montefalco,Sagrantino,Milziade Antano
10774,France,,95,50,Bordeaux,Pauillac,Bordeaux-style Red Blend,Château Pichon Longueville
10775,Austria,Zöbinger Heiligenstein Erste Lage Lyra Reserve,95,71,Kamptal,,Riesling,Bründlmayer
10776,Austria,Novelle Vague Nummer 6 Grande Cuvée Trockenbeerenauslese,95,92,Burgenland,,White Blend,Kracher
10777,US,Sea View Ridge Estate Vineyard,95,65,California,Sonoma Coast,Pinot Noir,Flowers
10778,US,Hirsch Vineyard,95,75,California,Sonoma Coast,Pinot Noir,Williams Selyem
10779,Germany,Graacher Himmelreich Auslese GoldKap,95,107,Mosel,,Riesling,Joh. Jos. Prüm
10780,US,Moon Select,95,80,California,Sonoma Coast,Pinot Noir,Flowers
10781,Germany,Rüdesheimer Berg Schlossberg Trockenbeerenauslese,94,99,Rheingau,,Riesling,Dr. Nägler
10782,Germany,Johannisberg Wallhausen Erste Lage Trockenbeerenauslese,94,237,Nahe,,Riesling,Prinz Salm
10783,France,,94,57,Bordeaux,Pauillac,Bordeaux-style Red Blend,Château Batailley
10784,France,,94,50,Bordeaux,Margaux,Bordeaux-style Red Blend,Château Cantenac Brown
10785,France,,94,75,Bordeaux,Sauternes,Bordeaux-style White Blend,Château Clos Haut-Peyraguey
10786,France,,94,65,Bordeaux,Sauternes,Bordeaux-style White Blend,Château Lafaurie-Peyraguey
10787,France,,94,150,Bordeaux,Saint-Julien,Bordeaux-style Red Blend,Château Léoville Poyferré
10788,US,Yates Conwill Vineyard,94,42,Oregon,Willamette Valley,Pinot Noir,Sineann
10789,US,The Beautiful,94,60,Washington,Walla Walla Valley (WA),Syrah,K Vintners
10790,Argentina,,94,90,Mendoza Province,Uco Valley,Malbec,O. Fournier
10791,Austria,Nummer 7 Trockenbeerenauslese,94,,Burgenland,,Welschriesling,Kracher
10792,US,Bacigalupi Vineyard,94,52,California,Russian River Valley,Zinfandel,Williams Selyem
10793,US,,94,70,California,Mount Veeder,Cabernet Sauvignon,Yates Family Vineyard
10794,Australia,Art Series,94,89,Western Australia,Margaret River,Chardonnay,Leeuwin Estate
10795,France,,94,45,Bordeaux,Sauternes,Bordeaux-style White Blend,Château Doisy-Védrines
10796,France,,94,58,Bordeaux,Margaux,Bordeaux-style Red Blend,Château Giscours
10797,Austria,Singerriedel Smaragd,94,,Wachau,,Grüner Veltliner,Gritsch Mauritiushof
10798,Austria,Sunogeln Priorissa Reserve,94,,Kremstal,,Riesling,Josef Schmid
10799,Italy,,94,50,Central Italy,Sagrantino di Montefalco,Sagrantino,Milziade Antano
10800,Austria,Heiligenstein Erste Lage,94,38,Kamptal,,Riesling,Bründlmayer
10801,Argentina,Magdalena Toso Limited 20 Barrels,94,102,Mendoza Province,Mendoza,Malbec-Cabernet Sauvignon,Pascual Toso
10802,US,,94,75,California,Mount Veeder,Malbec,Mt. Brave
10803,US,Bien Nacido Vineyard Old Vine,94,55,California,Santa Maria Valley,Pinot Noir,Tantara
10804,Spain,Altos Lanzaga,94,127,Northern Spain,Rioja,Tempranillo,Telmo Rodríguez
10805,US,Incandescent Proprietary,94,50,California,Santa Barbara County,White Blend,Sanguis
10806,US,Limited Release X Clones Estate,94,100,California,Napa Valley,Cabernet Sauvignon,Charles Krug
10807,France,Rosacker Grand Cru,94,39,Alsace,Alsace,Riesling,Domaine Jean-Luc Mader
10808,US,,94,80,California,Napa Valley,Cabernet Sauvignon,Guarachi Family
10809,France,,94,,Loire Valley,Quarts de Chaume,Chenin Blanc,Domaine des Baumard
10810,Portugal,Pintas,94,100,Douro,,Portuguese Red,Wine & Soul
10811,Portugal,Reserva,94,63,Douro,,Portuguese Red,Quinta da Romaneira
10812,US,Gap's Crown Vineyard,94,75,California,Sonoma Coast,Pinot Noir,Guarachi Family
10813,US,Gap's Crown Vineyard,94,54,California,Sonoma Coast,Pinot Noir,Sojourn
10814,US,Private Reserve,94,115,California,Oakville,Cabernet Sauvignon,Spoto
10815,Italy,,94,29,Tuscany,Vino Nobile di Montepulciano,Red Blend,Contucci
10816,France,Rangen de Thann Grand Cru Clos Saint-Théobald,93,60,Alsace,Alsace,Gewürztraminer,Domaine Schoffit
10817,France,,93,,Loire Valley,Savennières,Chenin Blanc,Domaine des Baumard
10818,France,Sonnenglanz Grand Cru,93,40,Alsace,Alsace,Pinot Gris,Domaine Bott-Geyl
10819,Italy,,93,22,Tuscany,Vino Nobile di Montepulciano,Sangiovese,Antico Colle
10820,France,Schlossberg Grand Cru,93,24,Alsace,Alsace,Riesling,Joseph Fritsch
10821,US,Reserve,93,106,California,Napa Valley,Cabernet Sauvignon,Black Coyote
10822,Spain,Don PX Reserva Especial,93,258,Andalucia,Montilla-Moriles,Pedro Ximénez,"Bodegas Toro Albala, SL"
10823,Italy,,93,28,Tuscany,Chianti Classico,Red Blend,Castello di Ama
10824,France,Osterberg Grand Cru,93,40,Alsace,Alsace,Gewürztraminer,Louis Sipp
10825,Italy,Tradizionale,93,48,Tuscany,Vino Nobile di Montepulciano,Sangiovese,Lunadoro
10826,US,Rodgers Creek Vineyard,93,48,California,Sonoma Coast,Pinot Noir,Sojourn
10827,Italy,,93,23,Tuscany,Chianti Classico,Red Blend,San Giusto a Rentennano
10828,US,Bien Nacido Reserve Block Eleven,93,30,California,Santa Maria Valley,Chardonnay,Qupé
10829,France,,93,49,Loire Valley,Savennières-Roche-Aux-Moines,Chenin Blanc,Domaine FL
10830,France,Persia,93,30,Rhône Valley,Ventoux,Rhône-style Red Blend,Domaine de Fondrèche
10831,Austria,Terrassen Federspiel,87,17,Wachau,,Grüner Veltliner,Domäne Wachau
10832,Chile,Reserva,87,12,Colchagua Valley,,Syrah,Echeverria
10833,US,Quail Run,87,22,Oregon,Southern Oregon,Pinot Blanc,Erath
10834,France,Château Lafleur de Haute-Serre,87,16,Southwest France,Cahors,Malbec,Georges Vigouroux
10835,Italy,Giambattista Valli,87,21,Sicily & Sardinia,Cerasuolo di Vittoria,Red Blend,Feudi del Pisciotto
10836,Italy,,87,10,Sicily & Sardinia,Sicilia,Syrah,Feudo Arancio
